,time,price,amount
584,1534133736,6345.9,0.80597065
585,1534133748,6343.49,0.04672875
586,1534133749,6343.49,0.00897392
587,1534133749,6343.49,0.00990605
588,1534133752,6343.49,0.02397548
589,1534133754,6343.49,0.04659152
590,1534133756,6343.49,1.0
591,1534133759,6343.49,0.17382428
592,1534133763,6343.48,0.82617572
593,1534133771,6343.48,0.01385821
594,1534133772,6343.48,0.03153222
595,1534133773,6343.48,0.002403
596,1534133775,6342.04,0.02163582
597,1534133777,6343.48,0.01284591
598,1534133780,6343.48,0.0108647
599,1534133782,6343.48,0.00917719
600,1534133788,6343.48,0.02507793
601,1534133791,6343.48,0.03998895
602,1534133791,6343.48,0.0192296
603,1534133793,6343.48,0.04269188
604,1534133793,6343.48,0.00723878
605,1534133794,6343.48,0.03677424
606,1534133796,6343.48,0.05
607,1534133797,6343.48,0.0064483
608,1534133797,6343.48,0.00990359
609,1534133800,6343.47,0.03935235
610,1534133801,6343.47,0.00834765
611,1534133804,6343.46,0.00504885
612,1534133808,6343.46,0.00503865
613,1534133814,6343.46,0.1561784
614,1534133817,6343.46,0.00251589
615,1534133819,6342.09,0.03936094
616,1534133820,6342.09,0.66021206
617,1534133825,6343.46,0.14758707
618,1534133826,6343.46,0.00868469
619,1534133828,6342.08,0.004035
620,1534133836,6343.44,0.00109627
621,1534133844,6343.44,0.00354069
622,1534133859,6343.42,1.22756725
623,1534133865,6343.42,0.03738272
624,1534133874,6342.08,0.97432918
625,1534133875,6342.08,1.32277082
626,1534133876,6343.42,0.04505003
627,1534133876,6343.42,0.95494997
628,1534133876,6343.42,0.3181693
629,1534133878,6343.42,1.0
630,1534133882,6343.41,1.0
631,1534133882,6343.41,0.31
632,1534133883,6343.41,0.69
633,1534133885,6343.41,1.0
634,1534133892,6343.4,0.00999342
635,1534133893,6343.4,0.06811662
636,1534133896,6343.4,1.23188996
637,1534133897,6343.4,4.66504667
638,1534133897,6343.4,0.98412688
639,1534133898,6343.41,0.03941073
